category,product,Prompt Template,Original_Prompt (Example)
ISIN position,Bonds,Provide total [select metric] for ISIN [input ISIN] in [select country] country.,Provide total MtM for ISIN US91282CGB19 in HONG KONG country.
ISIN position,Bonds,"For [select country] country, calculate difference for [select metric], [select metric2] and [select metric3] between ISIN [input ISIN] and ISIN [input ISIN2].","For HONG KONG country, calculate difference for Bond notional, MtM and RWA between ISIN US91282CGB19 and ISIN HK000109253."
ISIN position,Bonds,"For [select country] country, provide [select product] with the most negative [select metric] for the [select COB date] COB date.","For UK country, provide Bonds with the most negative MtM for the most recent COB date."
ISIN position,Bonds,Provide a list of countries where ISIN [input ISIN] was held.,Provide a list of countries where ISIN US91282CGB19 was held.
Maturity snapshot,Issuances,"Provide [select metric] of [select coupon type] rate [select product] in the [select country] country maturing in [input month year], for the [select COB date] COB date.","Provide notional of Fixed rate Issuances in the US country maturing in August 2025, for the most recent COB date."
Maturity snapshot,Issuances,"Provide weighted average holding yield of [select coupon type] rate [select product] in [select country] country maturing in [input month year], for the [select COB date] COB date.","Provide weighted average holding yield of Fixed rate Issuances in US country maturing in August 2025, for the most recent COB date."
Maturity snapshot,Issuances,"Provide [select metric] of [select product] in [select country] country maturing from [input month year] to [input month year2], for [select COB date] COB date.","Provide notional of Issuances in US country maturing from January 2025 to March 2025, for December 2024 COB date."
Maturity snapshot,Bonds,"For [select country] country, list [select model] [select metric] by maturity year and month","For NIGERIA country, list FVOCI bonds notional by maturity year and month"
Maturity snapshot,Bonds,"For [select country] country, provide [select metric] for [select model] grouped by maturity year and month.","For NIGERIA country, provide bond notional for FVOCI grouped by maturity year and month."
Maturity snapshot,Bonds,"For bonds in [select country] country, provide [select metric] and calculate weighted average maturity.","For bonds in UNITED ARAB EMIRATES country, provide notional and calculate weighted average maturity."
Maturity snapshot,Bonds,"For portfolio [input portfolio], calculate weighted average maturity for [select product].","For portfolio UKEHTC, calculate weighted average maturity for bonds."
Maturity snapshot,Bonds,"For [select country] country, calculate weighted average maturity for [select product].","For Kenya country, calculate weighted average maturity for bonds."
