field_name,suggested_hana_type,domain,presence_count,null_pct,max_length,sample_unique_count,dominant_kind,dominant_kind_ratio,source_tables,examples
adf_approval_received,NVARCHAR(8),DM_YN,27,99.97,45,2,string,0.963,register,BPC data already used - approval not required | No
any_technical_debt,NVARCHAR(8),DM_YN,165,99.84,3,2,enum_boolish,1.0,register,No | Yes
arf_approval_received,NVARCHAR(8),DM_YN,109,99.89,45,3,enum_boolish,0.7615,register,Yes | No | BPC data already used - approval not required
btp_field_name,NVARCHAR(120),DM_TEXT,102243,0.44,116,200,string,1.0,"non_staging_schema,staging_schema,staging_schema_logs",AS_OF_DATE | CONTEXT | REPORTING_DATE
btp_layer,NVARCHAR(40),DM_TEXT,3,100.0,17,3,string,1.0,validations,Staging | Common | Use-Case Specific
btp_schema_name,NVARCHAR(40),DM_TEXT,90975,11.41,32,42,string,1.0,"non_staging_schema,staging_schema_logs",STG_BCRS | STG_FDP | STG_FPSL
btp_staging_schema_name,NVARCHAR(40),DM_TEXT,11268,89.03,9,7,string,1.0,staging_schema,STG_BCRS | STG_FDP | STG_FPSL
btp_table_name,NVARCHAR(120),DM_IDENTIFIER,102243,0.44,90,200,string,1.0,"non_staging_schema,staging_schema,staging_schema_logs",BSI_REM_CONTROL_TABLE | BSI_REM_DIM_COUNTRY_GEOLOCATION | BSI_REM_FACT
data_availability_implemented_e_g_t_2_1300_gmt,NVARCHAR(40),DM_TEXT,111,99.89,15,4,string,1.0,register,T+2 | T+11/T+25 | T+1
data_availability_required_by_business,NVARCHAR(80),DM_TEXT,147,99.86,55,9,string,1.0,register,As soon as possible after cut-off | T+1 5:30 PM IST | M+1 6:00 PM IST
data_category,NVARCHAR(40),DM_TEXT,12,99.99,18,12,string,1.0,validations,Liquidity | FTP | IRRBB
data_cut_required_by_business,NVARCHAR(255),DM_TEXT,152,99.85,188,11,string,1.0,register,1st business day after month end at one second past midnight UK time | T+1 | M+12
data_domain,NVARCHAR(40),DM_TEXT,2,100.0,8,2,string,1.0,validations,Treasury | Finance
data_owner_data_sme_agreement_received,NVARCHAR(8),DM_YN,106,99.9,59,3,enum_boolish,0.9151,register,Yes | Yes - GFR’s approval to access the BPC legal views received | No
data_retention,NVARCHAR(80),DM_TEXT,167,99.84,60,15,string,1.0,register,5 years | Prior Year + YTD | 13 months of monthly data and 8 quarters of data
data_retention_implemented,NVARCHAR(80),DM_TEXT,89,99.91,55,9,string,1.0,register,"Prior Year + YTD | 13 months of monthly data and 8 quarters of data | 1 Year end, 2 quarter end, 2 month end and 5 daily data"
data_retention_justification,NVARCHAR(80),DM_TEXT,32,99.97,42,5,string,1.0,register,Analysis of up to 12 months' data | Reporting needs to be showed for 10 Months | Analysis includes prior year data
data_theme,NVARCHAR(40),DM_TEXT,395,99.62,33,20,string,1.0,register,Reference | FM/Treasury | Consoldiated Financials
data_type,NVARCHAR(40),DM_TEXT,397,99.61,12,2,string,1.0,"register,validations",Structured | Unstructured
datatype,NVARCHAR(40),DM_TEXT,102243,0.44,11,18,string,1.0,"non_staging_schema,staging_schema,staging_schema_logs",TIMESTAMP | NVARCHAR | DECIMAL
